Groups:
off0_syn_data[15:0] =, off0_syn_data[15], off0_syn_data[14], off0_syn_data[13], off0_syn_data[12], off0_syn_data[11], off0_syn_data[10], off0_syn_data[9], off0_syn_data[8], off0_syn_data[7], off0_syn_data[6], off0_syn_data[5], off0_syn_data[4], off0_syn_data[3], off0_syn_data[2], off0_syn_data[1], off0_syn_data[0], ,
img_data[15:0] =, img_data[15], img_data[14], img_data[13], img_data[12], img_data[11], img_data[10], img_data[9], img_data[8], img_data[7], img_data[6], img_data[5], img_data[4], img_data[3], img_data[2], img_data[1], img_data[0], ,
tx_data[31:0] =, tx_data[31], tx_data[30], tx_data[29], tx_data[28], tx_data[27], tx_data[26], tx_data[25], tx_data[24], tx_data[23], tx_data[22], tx_data[21], tx_data[20], tx_data[19], tx_data[18], tx_data[17], tx_data[16], tx_data[15], tx_data[14], tx_data[13], tx_data[12], tx_data[11], tx_data[10], tx_data[9], tx_data[8], tx_data[7], tx_data[6], tx_data[5], tx_data[4], tx_data[3], tx_data[2], tx_data[1], tx_data[0], ,

Data:
time unit: us, off0_syn_de, off0_syn_data[15:0], off0_syn_data[15], off0_syn_data[14], off0_syn_data[13], off0_syn_data[12], off0_syn_data[11], off0_syn_data[10], off0_syn_data[9], off0_syn_data[8], off0_syn_data[7], off0_syn_data[6], off0_syn_data[5], off0_syn_data[4], off0_syn_data[3], off0_syn_data[2], off0_syn_data[1], off0_syn_data[0], img_req, img_data[15:0], img_data[15], img_data[14], img_data[13], img_data[12], img_data[11], img_data[10], img_data[9], img_data[8], img_data[7], img_data[6], img_data[5], img_data[4], img_data[3], img_data[2], img_data[1], img_data[0], tx_start_en, udp_tx_done, tx_data[31:0], tx_data[31], tx_data[30], tx_data[29], tx_data[28], tx_data[27], tx_data[26], tx_data[25], tx_data[24], tx_data[23], tx_data[22], tx_data[21], tx_data[20], tx_data[19], tx_data[18], tx_data[17], tx_data[16], tx_data[15], tx_data[14], tx_data[13], tx_data[12], tx_data[11], tx_data[10], tx_data[9], tx_data[8], tx_data[7], tx_data[6], tx_data[5], tx_data[4], tx_data[3], tx_data[2], tx_data[1], tx_data[0], u_img_data_pkt/fifo_empty, u_img_data_pkt/neg_fifo_empty, u_img_data_pkt/wr_sw, u_img_data_pkt/head_flag,
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
1, 1, 20E2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2123, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 29042123, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0,
2, 1, 20E2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2123, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 29042123, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0,
3, 1, 20E3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 2143, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 29042123, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1,
4, 1, 20E3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 2143, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 29042123, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1,
5, 1, 20E3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1944, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 29042123, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1,
6, 1, 18E2, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1944, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 29042123, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1,
7, 1, 18E2, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2923, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 29042123, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1,
8, 1, 18E2, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2923, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 29042123, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1,
9, 1, 18E2, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2124, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 29042123, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1,
